Comment,Description,Designator,Footprint,LibRef,Quantity,MPN,MYPN,VENDOR

"4.7uF, 10V, X7S","Capacitor (Semiconductor SIM Model)","C1, C2, C21, C22, C23, C25","B_CAP0603","Cap Semi","6","?C1608X7S1A475K080AC?","C-475-10-X7S-0603","TDK"
"1.0uF, 6.3V, X5R","Capacitor (Semiconductor SIM Model)","C3, C4, C7, C12","B_CAP0201","Cap Semi","4","GRM033R60J105MEA2D","C-105-6p3-X5R-0201","Murata"
"0.1uF, 6.3V, X5R","Capacitor (Semiconductor SIM Model)","C5, C9, C11, C15, C16, C24, C26","B_CAP0201","Cap Semi","7","CL03A104KQ3NNNC","C-104-6p3-X5R-0201","Samsung"
"12pF, NP0","Capacitor (Semiconductor SIM Model)","C6, C10, C14, C17","B_CAP0201","Cap Semi","4","GRM0335C1E120JA01D","C-120-25-NP0-0201","Murata"
"0.047uF 6.3V X5R","Capacitor (Semiconductor SIM Model)","C8","B_CAP0201","Cap Semi","1","GRM033C81A473KE05D","C-473-10-X6S-0201","Murata"
"100pF, NP0","Capacitor (Semiconductor SIM Model)","C13","B_CAP0201","Cap Semi","1","?CC0201JRNPO8BN101?","C-101-25-NP0-0201","Murata"
"1.0pF, NP0","Capacitor (Semiconductor SIM Model)","C18","B_CAP0201","Cap Semi","1","GJM0335C1E1R0CB01D?","C-1R0-25-NP0-0201","Murata"
"1.2pF, NP0","Capacitor (Semiconductor SIM Model)","C19","B_CAP0201","Cap Semi","1","?GRM0335C1H1R2CA01D?","C-1R2-50-NP0-0201","Murata"
"820pF, NP0","Capacitor (Semiconductor SIM Model)","C20","B_CAP0201","Cap Semi","1","TMK063CG821JT-F?","C-821-25-NP0-0201","Tayo Yuden"
"PESD5V0H1BSF","ESD7331MUT5G","D1","D_X3DFN2_0201","D Zener","1","PESD5V0H1BSF","D-PESD5V0H1BSF","Nexperia"
"ESD7331MUT5G","ESD7331MUT5G","D2, D3","D_X3DFN2_0201","D Zener","2","ESD7331MUT5G","D-ESD7331MUT5G","ON Semi"
"white LED","Red LED","D4","B_DIO0402","LED2","1","EAST10052WA0","D-LED-WHT-0402","Everlight"
"power tap (DNP)","Connector","J1","RESTAP-0603","CON1","1","DNP","J-TP-PWRTAP-0603","DNP"
"15nH","High frequency chip inductor ±10%","L1","B_CAP0201","L0402-15n","1","?LQP03TN15NH02D?","L-?LQP03TN15NH02D?","Murata"
"10uH","Chip inductor, IDC,min = 50 mA, ±20%","L2","B_IND0603","L0603-10µ-TDK","1","?LQM18FN100M00D?","L-?LQM18FN100M00D?","Murata"
"4.7nH","High frequency chip inductor ±5%","L3","B_CAP0201","L0402-4n7","1","?LQP03TN4N7H02D?","L-?LQP03TN4N7H02D?","Murata"
"2.2nH","High frequency chip inductor ±5%","L4","B_CAP0201","L0402-2n2","1","?LQP03TN2N2B02D?","L-?LQP03TN2N2B02D?","Murata"
"CPT-1117-83-SMT-TR","11 mm, 5 Vp-p, 83 dB, Surface Mount _SMT_, Piezo Audio Transducer Buzzer","LS","XDCR_CPT-1117-83-SMT-TR","CPT-1117-83-SMT-TR","1","CPT-1117-83-SMT-TR","SPK-CPT-1117-83-SMT-TR","CUI Devices"
